n,xi
8,0/3 0/3 2/3 3/3 0/3 1/3 0/3 0/3 0/3 2/3 3/3 1/3 0/3 0/3 0/3 2/3 3/3 1/3 0/3 0/3 1/3 3/3 0/3 0/3 1/3 0/3 1/3 0/3
8,0/2 0/2 2/2 1/2 0/2 1/2 0/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 1/2 0/2 0/2 1/2 0/2 1/2 0/2
8,0/2 0/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 1/2 1/2 1/2 0/2 1/2 0/2 0/2 0/2
8,0/2 0/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 1/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2
9,0/2 0/2 0/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 1/2 2/2 0/2 1/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 1/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
9,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 1/2 0/2 0/2 0/2
9,0/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 0/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 1/2 0/2 0/2 0/2
9,0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 2/2 0/2 1/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 1/2 0/2 0/2 0/2
9,0/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 1/2 2/2 0/2 1/2 0/2 2/2 0/2 1/2 1/2 0/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2
9,0/2 0/2 0/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2
9,0/2 0/2 0/2 1/2 0/2 2/2 0/2 1/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2
9,0/3 0/3 0/3 1/3 0/3 2/3 0/3 3/3 0/3 0/3 3/3 0/3 0/3 2/3 1/3 0/3 0/3 3/3 2/3 1/3 0/3 0/3 2/3 0/3 3/3 1/3 0/3 2/3 0/3 0/3 0/3 0/3 1/3 0/3 0/3 0/3
9,0/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2
