idx,opt_plus,gap_plus,runtime
0,1,1,119.64214700000000847ms
1,0.875,1.1428571428571430158,236.35233800000000315ms
2,0.88461538461538458123,1.1304347826086957874,292.15831700000001093ms
3,0.8571428571428572063,1.1666666666666667407,217.26586600000001682ms
4,0.88888888888888895057,1.125,167.53492400000001795ms
5,0.90000000000000013323,1.1111111111111111605,221.00185300000001121ms
6,0.90476190476190498924,1.1052631578947367253,175.18176200000002041ms
7,0.88888888888888895057,1.125,151.59707200000002559ms
8,0.8888888888888890616,1.125,195.08492000000001099ms
9,0.90000000000000002221,1.1111111111111111605,251.2763230000000192ms
10,0.88888888888888895057,1.125,171.84478500000000168ms
11,0.90476190476190487822,1.1052631578947367253,256.6896780000000149ms
12,0.91666666666666662966,1.0909090909090910504,269.01871600000004037ms
13,0.88888888888888883955,1.1250000000000002221,141.29736000000002605ms
14,0.90000000000000002221,1.1111111111111111605,208.79109000000002539ms
15,0.88888888888888895057,1.125,184.554914000000025ms
16,0.90476190476190487822,1.1052631578947367253,205.95640900000000784ms
17,0.89999999999999991119,1.1111111111111113825,176.57103100000000496ms
18,0.90476190476190487822,1.1052631578947367253,182.32717400000001363ms
19,0.90476190476190498924,1.1052631578947367253,180.8119880000000137ms
20,0.90000000000000002221,1.1111111111111111605,200.46169700000001513ms
21,0.90476190476190498924,1.1052631578947367253,165.13594100000000254ms
22,0.88888888888888895057,1.125,159.98857400000002827ms
23,0.90000000000000013323,1.1111111111111111605,229.53081600000001572ms
24,0.8888888888888890616,1.125,182.8589770000000101ms
25,0.9047619047619047672,1.1052631578947369473,236.77698100000000637ms
26,0.88888888888888895057,1.125,188.13078900000002137ms
27,0.88888888888888895057,1.125,209.78993800000000647ms
28,0.90000000000000002221,1.1111111111111111605,196.67867300000000342ms
29,0.91666666666666662966,1.0909090909090910504,280.70905900000002476ms
30,0.91666666666666674069,1.0909090909090908284,191.94217200000002777ms
31,0.88888888888888895057,1.125,144.81488300000000891ms
32,0.90000000000000002221,1.1111111111111111605,183.08819700000000808ms
33,0.90476190476190487822,1.1052631578947367253,191.2636980000000051ms
34,0.90000000000000013323,1.1111111111111111605,209.0393720000000144ms
35,0.90909090909090917166,1.1000000000000000889,221.06338300000001596ms
36,0.90000000000000013323,1.1111111111111111605,228.30180400000000419ms
37,0.90000000000000002221,1.1111111111111111605,209.82057200000002695ms
38,0.90000000000000013323,1.1111111111111111605,176.10390400000002842ms
39,0.90476190476190487822,1.1052631578947367253,241.50656600000002073ms
40,0.90000000000000002221,1.1111111111111111605,188.610904000000005ms
41,0.86956521739130443472,1.1499999999999999112,186.79815800000000082ms
42,0.88461538461538458123,1.1304347826086957874,221.82688600000000179ms
43,0.90000000000000013323,1.1111111111111111605,225.67638500000001046ms
44,0.90000000000000002221,1.1111111111111111605,189.89013600000001248ms
45,0.90000000000000013323,1.1111111111111111605,194.73718500000001086ms
46,0.90000000000000002221,1.1111111111111111605,211.41323200000002203ms
47,0.90000000000000002221,1.1111111111111111605,169.47545400000001337ms
48,0.90000000000000013323,1.1111111111111111605,159.6851140000000271ms
49,0.88235294117647056212,1.1333333333333335258,210.27302600000001576ms
50,0.90000000000000013323,1.1111111111111111605,175.1003780000000063ms
51,0.8888888888888890616,1.125,184.11542000000000031ms
52,0.90000000000000002221,1.1111111111111111605,238.97777600000000576ms
53,0.875,1.1428571428571430158,193.11415800000000332ms
